temp_id,title,type,body,labels,parent_temp_id
EPIC-1,"Epic 1: Platform Foundation & Authentication",Epic,"Establish core .NET solution database schema and secure authentication.","type: epic,module: core,priority: critical",
EPIC-2,"Epic 2: Fleet & Vehicle Management",Epic,"Register track and manage every vehicle including compliance and telematics mapping.","type: epic,module: fleet,priority: high",
EPIC-3,"Epic 3: Driver Management & Compliance",Epic,"Onboard drivers track CMTVDE and criminal record validity and manage assignments.","type: epic,module: drivers,priority: high",
EPIC-4,"Epic 4: Trip & Revenue Synchronisation",Epic,"Ingest trip data from Uber mock API and Bolt CSV into a unified trips table.","type: epic,module: trips,priority: high",
EPIC-5,"Epic 5: Telemetry (Mapon Mock)",Epic,"Build an API-faithful Mapon mock server and integrate via a provider-agnostic client.","type: epic,module: telemetry,priority: high",
EPIC-6,"Epic 6: Billing Engine (3 Business Models)",Epic,"Automate billing cycles for rental profit-share and salary-plus-commission models.","type: epic,module: billing,priority: critical",
EPIC-7,"Epic 7: Payments (Manual Workflow)",Epic,"Enable admins to mark payments as paid and notify drivers automatically.","type: epic,module: payments,priority: high",
EPIC-8,"Epic 8: Incidents Complaints & Expenses",Epic,"Allow drivers to report incidents and expenses and managers to log complaints.","type: epic,module: incidents,priority: medium",
EPIC-9,"Epic 9: Analytics Reporting & Export",Epic,"Provide dashboards vehicle comparisons driver rankings and tax exports.","type: epic,module: analytics,priority: medium",
EPIC-10,"Epic 10: Mobile App & Push Notifications",Epic,"Deliver the .NET MAUI driver app with offline capability and push notifications.","type: epic,module: mobile,priority: high",
EPIC-11,"Epic 11: Compliance Alert Engine",Epic,"Automatically scan and alert on all vehicle and driver compliance expiries.","type: epic,module: compliance,priority: critical",
EPIC-12,"Epic 12: Settings & Administration",Epic,"Configure Mapon manage users and control system settings.","type: epic,module: settings,priority: medium",
FEAT-1.1,"Feature 1.1: Solution Scaffolding",Feature,"Set up the .NET solution with API Blazor MAUI Functions and Mock projects.","type: feature,module: core",EPIC-1
FEAT-1.2,"Feature 1.2: Database Schema & Migrations",Feature,"Create all tables indexes and partitions via EF Core migrations.","type: feature,module: core",EPIC-1
FEAT-1.3,"Feature 1.3: JWT Authentication",Feature,"Implement login refresh and logout with JWT tokens.","type: feature,module: auth",EPIC-1
FEAT-1.4,"Feature 1.4: RBAC Authorization",Feature,"Enforce role-based access control across all controllers.","type: feature,module: auth",EPIC-1
